Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"2,814",33.5,32.1,35,"2,613",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,1,BO1,CAT1,_BMI5CAT,RESP039,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,239",29.7,27.8,31.6,"2,608",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,2,BO1,CAT1,_BMI5CAT,RESP039,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"3,777",28.9,27.7,30.2,"2,619",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,4,BO1,CAT1,_BMI5CAT,RESP039,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,672",35.9,33.8,38,"2,612",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,5,BO1,CAT1,_BMI5CAT,RESP039,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,967",24.7,23.5,25.9,"2,619",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,6,BO1,CAT1,_BMI5CAT,RESP039,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"2,702",21.3,20.4,22.2,"2,616",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,8,BO1,CAT1,_BMI5CAT,RESP039,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,934",26.3,24.8,27.7,"2,606",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,9,BO1,CAT1,_BMI5CAT,RESP039,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,268",30.7,28.6,32.7,"2,608",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,10,BO1,CAT1,_BMI5CAT,RESP039,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,907,21.7,19.5,23.9,"2,599",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,11,BO1,CAT1,_BMI5CAT,RESP039,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"2,303",26.2,25,27.5,"2,618",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,12,BO1,CAT1,_BMI5CAT,RESP039,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,833",30.5,28.9,32.1,"2,613",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,13,BO1,CAT1,_BMI5CAT,RESP039,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,483",22.1,20.7,23.5,"2,617",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,15,BO1,CAT1,_BMI5CAT,RESP039,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,415",28.9,27.1,30.8,"2,598",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,16,BO1,CAT1,_BMI5CAT,RESP039,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,"1,394",29.3,27.6,31.1,"2,608",%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,17,BO1,CAT1,_BMI5CAT,RESP039,"(40.48501028300046, -88.99771017799969)"
