Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,"1,048",14.8,13.6,15.9,"2,748",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,1,BO1,CAT1,_SMOKER3,RESP068,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,523,13.5,12,14.9,"2,742",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,2,BO1,CAT1,_SMOKER3,RESP068,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,"1,266",11.1,10.1,12,"2,754",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,4,BO1,CAT1,_SMOKER3,RESP068,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,643,17.7,15.9,19.5,"2,746",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,5,BO1,CAT1,_SMOKER3,RESP068,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,610,7.7,7,8.4,"2,754",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,6,BO1,CAT1,_SMOKER3,RESP068,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,"1,094",10.7,10,11.4,"2,751",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,8,BO1,CAT1,_SMOKER3,RESP068,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,592,10.2,9.1,11.3,"2,740",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,9,BO1,CAT1,_SMOKER3,RESP068,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,483,14.7,13,16.4,"2,742",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,10,BO1,CAT1,_SMOKER3,RESP068,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,291,10,8.3,11.8,"2,732",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,11,BO1,CAT1,_SMOKER3,RESP068,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,884,11.6,10.6,12.5,"2,753",%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,12,BO1,CAT1,_SMOKER3,RESP068,"(28.932040377000476, -81.92896053899966)"
